Epoch:50	 lr:0.050	 duration:130.314	train_acc:47.78	train_loss:0.007668	 test_acc:0.00	 test_loss:92.050000
Epoch:51	 lr:0.046	 duration:130.220	train_acc:53.06	train_loss:0.007641	 test_acc:0.00	 test_loss:92.430000
Epoch:52	 lr:0.042	 duration:130.011	train_acc:51.96	train_loss:0.007721	 test_acc:0.00	 test_loss:92.540000
Epoch:53	 lr:0.038	 duration:129.593	train_acc:54.63	train_loss:0.007496	 test_acc:0.00	 test_loss:93.030000
Epoch:54	 lr:0.035	 duration:130.537	train_acc:51.58	train_loss:0.007619	 test_acc:0.00	 test_loss:92.070000
Epoch:55	 lr:0.031	 duration:130.416	train_acc:51.47	train_loss:0.007611	 test_acc:0.00	 test_loss:92.960000
Epoch:56	 lr:0.027	 duration:129.418	train_acc:50.09	train_loss:0.007483	 test_acc:0.00	 test_loss:93.370000
Epoch:57	 lr:0.024	 duration:130.794	train_acc:55.29	train_loss:0.007610	 test_acc:0.00	 test_loss:93.420000
Epoch:58	 lr:0.021	 duration:130.568	train_acc:51.25	train_loss:0.007503	 test_acc:0.00	 test_loss:93.860000
Epoch:59	 lr:0.018	 duration:129.556	train_acc:53.64	train_loss:0.007245	 test_acc:0.00	 test_loss:94.010000
Epoch:60	 lr:0.015	 duration:129.680	train_acc:53.14	train_loss:0.007467	 test_acc:0.00	 test_loss:93.960000
Epoch:61	 lr:0.012	 duration:130.336	train_acc:55.88	train_loss:0.007135	 test_acc:0.00	 test_loss:93.690000
Epoch:62	 lr:0.010	 duration:130.607	train_acc:52.72	train_loss:0.007245	 test_acc:0.00	 test_loss:94.330000
Epoch:63	 lr:0.007	 duration:130.310	train_acc:52.35	train_loss:0.007010	 test_acc:0.00	 test_loss:94.390000
Epoch:64	 lr:0.005	 duration:130.507	train_acc:51.82	train_loss:0.007013	 test_acc:0.00	 test_loss:94.400000
Epoch:65	 lr:0.004	 duration:129.895	train_acc:54.06	train_loss:0.006805	 test_acc:0.00	 test_loss:94.590000
Epoch:66	 lr:0.002	 duration:131.405	train_acc:53.18	train_loss:0.007234	 test_acc:0.00	 test_loss:94.360000
Epoch:67	 lr:0.001	 duration:130.453	train_acc:51.83	train_loss:0.006951	 test_acc:0.00	 test_loss:94.460000
Epoch:68	 lr:0.001	 duration:129.676	train_acc:54.56	train_loss:0.007040	 test_acc:0.00	 test_loss:94.510000
Epoch:69	 lr:0.000	 duration:126.739	train_acc:51.46	train_loss:0.006898	 test_acc:0.00	 test_loss:94.510000
Epoch:70	 lr:0.100	 duration:128.623	train_acc:50.57	train_loss:0.008096	 test_acc:0.00	 test_loss:89.860000
Epoch:71	 lr:0.100	 duration:129.726	train_acc:52.61	train_loss:0.008297	 test_acc:0.01	 test_loss:87.690000
Epoch:72	 lr:0.100	 duration:129.587	train_acc:50.06	train_loss:0.008052	 test_acc:0.00	 test_loss:88.170000
Epoch:73	 lr:0.100	 duration:129.096	train_acc:49.45	train_loss:0.008066	 test_acc:0.00	 test_loss:88.820000
Epoch:74	 lr:0.099	 duration:130.679	train_acc:50.90	train_loss:0.007981	 test_acc:0.00	 test_loss:88.230000
Epoch:75	 lr:0.099	 duration:130.472	train_acc:50.08	train_loss:0.007982	 test_acc:0.00	 test_loss:89.610000
Epoch:76	 lr:0.099	 duration:130.415	train_acc:51.33	train_loss:0.008016	 test_acc:0.00	 test_loss:90.140000
Epoch:77	 lr:0.098	 duration:127.230	train_acc:50.27	train_loss:0.007777	 test_acc:0.00	 test_loss:90.620000
