Epoch:50	 lr:0.050	 duration:25.394	train_acc:42.59	train_loss:0.009594	 test_acc:0.01	 test_loss:80.430000
Epoch:51	 lr:0.046	 duration:25.273	train_acc:47.46	train_loss:0.009525	 test_acc:0.01	 test_loss:82.060000
Epoch:52	 lr:0.042	 duration:25.657	train_acc:46.79	train_loss:0.009562	 test_acc:0.01	 test_loss:81.190000
Epoch:53	 lr:0.038	 duration:26.580	train_acc:49.33	train_loss:0.009316	 test_acc:0.01	 test_loss:82.100000
Epoch:54	 lr:0.035	 duration:25.782	train_acc:45.95	train_loss:0.009475	 test_acc:0.01	 test_loss:83.420000
Epoch:55	 lr:0.031	 duration:26.317	train_acc:46.42	train_loss:0.009393	 test_acc:0.01	 test_loss:82.910000
Epoch:56	 lr:0.027	 duration:25.204	train_acc:45.08	train_loss:0.009256	 test_acc:0.01	 test_loss:84.220000
Epoch:57	 lr:0.024	 duration:25.414	train_acc:50.35	train_loss:0.009376	 test_acc:0.01	 test_loss:83.720000
Epoch:58	 lr:0.021	 duration:23.956	train_acc:46.87	train_loss:0.009231	 test_acc:0.01	 test_loss:83.680000
Epoch:59	 lr:0.018	 duration:25.786	train_acc:49.59	train_loss:0.008948	 test_acc:0.01	 test_loss:84.190000
Epoch:60	 lr:0.015	 duration:25.239	train_acc:48.89	train_loss:0.009162	 test_acc:0.01	 test_loss:84.600000
Epoch:61	 lr:0.012	 duration:23.252	train_acc:51.20	train_loss:0.008785	 test_acc:0.01	 test_loss:84.620000
Epoch:62	 lr:0.010	 duration:24.463	train_acc:48.22	train_loss:0.009000	 test_acc:0.01	 test_loss:84.920000
Epoch:63	 lr:0.007	 duration:24.645	train_acc:48.22	train_loss:0.008674	 test_acc:0.01	 test_loss:85.120000
Epoch:64	 lr:0.005	 duration:25.354	train_acc:47.95	train_loss:0.008681	 test_acc:0.01	 test_loss:85.590000
Epoch:65	 lr:0.004	 duration:26.607	train_acc:50.02	train_loss:0.008444	 test_acc:0.01	 test_loss:85.970000
